,marvel_comic_character_name,comic_appearance 1,comic_appearance 2,comic_appearance 3,comic_appearance 4,comic_appearance 5,comic_appearance 6,comic_appearance 7,comic_appearance 8,comic_appearance 9,comic_appearance 10,comic_appearance 11,comic_appearance 12,comic_appearance 13,comic_appearance 14,comic_appearance 15,comic_appearance 16,comic_appearance 17,comic_appearance 18,comic_appearance 19,comic_appearance 20,comic_appearance 21,comic_appearance 22,comic_appearance 23,comic_appearance 24,comic_appearance 25,comic_appearance 26,comic_appearance 27,comic_appearance 28,comic_appearance 29,comic_appearance 30,comic_appearance 31,comic_appearance 32,comic_appearance 33,comic_appearance 34,comic_appearance 35
374,Electro (Ultimate),Ultimate Comics Spider-Man (2009) #156,Ultimate Comics Spider-Man (2009) #158,Ultimate Comics Spider-Man (2009) #159,Ultimate Spider-Man (2000) #12,Ultimate Spider-Man Ultimate Collection Book 1 (Trade Paperback),Ultimate Spider-Man Vol. 2: Learning Curve (Trade Paperback),Ultimate Spider-Man Vol. II: Learning Curve (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Elektra,Agents of S.H.I.E.L.D. (2016) #9,Agents of S.H.I.E.L.D. (2016) #10,Black Widow (2010) #2,Black Widow (2010) #3,Daredevil (1998) #7,Daredevil (1998) #8,Daredevil (2019) #13,Daredevil (2019) #16,Daredevil (2019) #24,Daredevil (2019) #25,Daredevil (2019) #26,Daredevil (2019) #27,Daredevil (1998) #28,Daredevil (2019) #28,Daredevil (2019) #29,Daredevil (2019) #30,Daredevil (2019) #31,Daredevil (2019) #32,Daredevil (1998) #32,Daredevil (2019) #33,,,,,,,,,,,,,,,
376,Elektra (Ultimate),Ultimate Daredevil & Elektra (Trade Paperback),Ultimate Daredevil and Elektra (2002) #1,Ultimate Daredevil and Elektra (2002) #2,Ultimate Daredevil and Elektra (2002) #3,Ultimate Daredevil and Elektra (2002) #4,Ultimate Elektra (2004) #1,Ultimate Elektra (2004) #2,Ultimate Elektra (2004) #3,Ultimate Elektra (2004) #4,Ultimate Elektra (2004) #5,Ultimate Spider-Man (2000) #84,,,,,,,,,,,,,,,,,,,,,,,,
377,Elements of Doom,Avengers (1963) #188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Elite,Punisher: War Zone (2008) #6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,Elixir,Cable (2008) #13,Cable (2008) #13 (MW, 50/50 Variant),Cable (2008) #14,Cable (2008) #14 (MW, 50/50 Variant),Love Unlimited Infinity Comic (2022) #44,New X-Men (2004) #25,New X-Men (2004) #1,New X-Men (2004) #2,New X-Men (2004) #3,New X-Men (2004) #4,New X-Men (2004) #5,New X-Men (2004) #6,New X-Men (2004) #7,New X-Men (2004) #8,New X-Men (2004) #9,New X-Men (2004) #10,New X-Men: Childhood's End - The Complete Collection (Trade Paperback),New X-Men: Childhood's End Vol. 2 (Trade Paperback),Uncanny X-Men Annual (2016) #1,X-Force (2008) #4,,,,,,,,,,,,,
380,Elloe Kaifi,World War Hulk: Warbound (2007) #1,World War Hulk: Warbound (2007) #3,World War Hulk: Warbound (2007) #5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Elsa Bloodstone,A-Force (2016) #9,A-Force (2016) #10,Black Knight: Curse of the Ebony Blade (2021) #2,Black Knight: Curse of the Ebony Blade (2021) #3,Black Knight: Curse of the Ebony Blade (2021) #4,Black Knight: Curse of the Ebony Blade (2021) #5,Bloodstone (2001) #2,Bloodstone (2001) #3,Bloodstone (2001) #4,BLOODSTONE & THE LEGION OF MONSTERS TPB (Trade Paperback),Deadpool (2019) #7,Deadpool (2019) #8,Deadpool (2019) #9,Deadpool (2019) #10,Death of Doctor Strange: Bloodstone (2022) #1,Doctor Strange: Damnation (2018) #2,Doctor Strange: Damnation (2018) #3,Doctor Strange: Damnation (2018) #4,Fearless Defenders (2013) #9,Jessica Jones: Blind Spot (Trade Paperback),,,,,,,,,,,,,,,
382,Emma Frost,All-New X-Men (2012) #1,Astonishing X-Men (2004) #1,Astonishing X-Men (2004) #2,Astonishing X-Men (2004) #3,Astonishing X-Men (2004) #4,Astonishing X-Men (2004) #5,Astonishing X-Men (2004) #6,Astonishing X-Men (2004) #7,Astonishing X-Men (2004) #8,Astonishing X-Men (2004) #9,Astonishing X-Men (2004) #10,Astonishing X-Men (2004) #12,Astonishing X-Men (2004) #13,Astonishing X-Men (2004) #14,Astonishing X-Men (2004) #15,Astonishing X-Men (2004) #16,Astonishing X-Men (2004) #17,Astonishing X-Men (2004) #18,Astonishing X-Men (2004) #19,Astonishing X-Men (2004) #20 (50/50),,,,,,,,,,,,,,,
383,Empath,Hellions (2020) #1,Hellions (2020) #2,Hellions (2020) #3,Hellions (2020) #4,Hellions (2020) #5,Hellions (2020) #6,Hellions (2020) #7,Hellions (2020) #9,Hellions (2020) #10,Hellions (2020) #11,Hellions (2020) #12,Hellions (2020) #13,Hellions (2020) #15,Hellions (2020) #16,Hellions (2020) #17,Hellions (2020) #18,New Mutants (2009) #1,New Mutants (2009) #1 (BENJAMIN VARIANT),New Mutants (1983) #31,New Mutants (1983) #43,,,,,,,,,,,,,,,
