,marvel_comic_character_name,comic_appearance 1,comic_appearance 2,comic_appearance 3,comic_appearance 4,comic_appearance 5,comic_appearance 6,comic_appearance 7,comic_appearance 8,comic_appearance 9,comic_appearance 10,comic_appearance 11,comic_appearance 12,comic_appearance 13,comic_appearance 14,comic_appearance 15,comic_appearance 16,comic_appearance 17,comic_appearance 18,comic_appearance 19,comic_appearance 20,comic_appearance 21,comic_appearance 22,comic_appearance 23,comic_appearance 24,comic_appearance 25,comic_appearance 26,comic_appearance 27,comic_appearance 28,comic_appearance 29,comic_appearance 30,comic_appearance 31,comic_appearance 32,comic_appearance 33,comic_appearance 34,comic_appearance 35
0,Abomination (Emil Blonsky),Avengers (1998) #61,Avengers (1998) #62,Avengers Vol. 1: World Trust (Trade Paperback),Earth X (1999) #7,EARTH X TPB [NEW PRINTING] (Trade Paperback),Hulk (2008) #3,Hulk: Destruction (2005) #4,Hulk (1999) #24,Hulk (1999) #25,Hulk (1999) #28,Hulk (1999) #50,Hulk (1999) #51,Hulk (1999) #53,Hulk (1999) #54,Incredible Hulk (1962) #137,Incredible Hulk (1962) #171,Incredible Hulk (1962) #194,Incredible Hulk (1962) #195,Incredible Hulk (1962) #196,Incredible Hulk (1962) #200,,,,,,,,,,,,,,,
1,Abomination (Ultimate),Hulk (2008) #50,Ultimate X-Men (2001) #26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Absorbing Man,A+X (2012) #8,Avengers (1963) #183,Avengers (1963) #184,Avengers (1963) #270,Avengers Academy (2010) #16,Avengers Academy (2010) #17,Avengers Academy (2010) #18,Avengers Academy (2010) #19,Avengers Annual (1967) #20,Black Bolt (2017) #3,Black Bolt (2017) #4,Black Bolt (2017) #11,Black Bolt Vol. 1: Hard Time (Trade Paperback),Captain America (1998) #24,Dazzler (1981) #18,Dazzler (1981) #19,Deadpool (1997) #43,Fantastic Four (1998) #22,Fantastic Four (1961) #330,Fear Itself (2010) #2 (3rd Printing Variant),,,,,,,,,,,,,,,
3,Aaron Stack,Dark Avengers (2012) #177,Dark Avengers (2012) #179,Dark Avengers (2012) #180,Dark Avengers (2012) #181,Dark Avengers (2012) #182,Dark Avengers (2012) #183,Hulk (2008) #43,Universe X (2000) #6,Universe X (2000) #7,Universe X (2000) #8,Universe X (2000) #9,Universe X (2000) #10,Universe X (2000) #11,Universe X (2000) #12,,,,,,,,,,,,,,,,,,,,,
4,Abyss,Uncanny X-Men (1963) #402,Uncanny X-Men (1963) #404,Uncanny X-Men (1963) #405,Uncanny X-Men (1963) #406,Uncanny X-Men (1963) #429,Uncanny X-Men (1963) #431,X-Men: Alpha (1995) #1,X-Men: The Complete Age of Apocalypse Epic Book 2 (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Abyss (Age of Apocalypse),Weapon X (1995) #1,X-Men: Alpha (1995) #1,X-Men: The Complete Age of Apocalypse Epic Book 2 (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Adam Destine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Adam Warlock,Adam Warlock Omnibus (Hardcover),Adam Warlock: Strange Tales Facsimile Edition (2023) #178,All-New Guardians of the Galaxy Vol. 3: Infinity Quest (Trade Paperback),Annihilation: Conquest (2007) #1,Annihilation: Conquest (2007) #2,Annihilation: Conquest (2007) #3,Annihilation: Conquest (2007) #4,Annihilation: Conquest (2007) #5,Annihilation: Conquest (2007) #6,Avengers Forever (1998) #9,Avengers Legends Vol. I: Avengers Forever (Trade Paperback),CLANDESTINE CLASSIC PREMIERE HC (Hardcover),Doctor Strange, Sorcerer Supreme (1988) #27,Doctor Strange, Sorcerer Supreme (1988) #32,Doctor Strange, Sorcerer Supreme (1988) #36,Earth X (1999) #2,Earth X (1999) #11,EARTH X TPB [NEW PRINTING] (Trade Paperback),Fantastic Four (1961) #172,Fantastic Four (1961) #370,,,,,,,,,,,,
8,Aegis (Trey Rollins),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Aero (Aero),Aero (2019) #1,Aero (2019) #2,Aero (2019) #3,Aero (2019) #4,Aero (2019) #5,Aero (2019) #6,Aero (2019) #7,Aero (2019) #8,Aero (2019) #9,Aero (2019) #10,Aero (2019) #11,Aero (2019) #12,Agents of Atlas (2019) #1,Agents of Atlas (2019) #3,Agents of Atlas (2019) #5,Atlantis Attacks (2020) #1,Atlantis Attacks (2020) #2,Atlantis Attacks (2020) #3,Atlantis Attacks (2020) #4,Atlantis Attacks (2020) #5,,,,,,,,,,,,,,,
10,Agatha Harkness,Avengers (1996) #1,Avengers (1996) #2,Avengers (1996) #3,Avengers (1996) #4,Avengers (1996) #8,Avengers Fairy Tales (2008) #4,Captain America (2018) #19,Captain Marvel (2019) #39,Captain Marvel (2019) #42,Fantastic Four (1961) #94,Midnight Suns (2022) #5,Scarlet Witch (1994) #1,Scarlet Witch (2015) #1,Scarlet Witch (1994) #3,Scarlet Witch (1994) #4,Scarlet Witch (2015) #13,Ultimate Fantastic Four (2003) #54,Ultimate Fantastic Four (2003) #55,Ultimate Fantastic Four (2003) #56,Vision and the Scarlet Witch (1985) #3,,,,,,,,,,,,,,,
11,Agent Brand,Astonishing X-Men (2004) #21,Astonishing X-Men (2004) #22,Astonishing X-Men (2004) #23,Astonishing X-Men (2004) #24,Astonishing X-Men (2004) #32,Astonishing X-Men (2004) #33,Astonishing X-Men (2004) #38,Astonishing X-Men (2004) #40,Astonishing X-Men (2004) #40 (I Am Captain America Variant),Cable and X-Force (2012) #8,Heralds (Trade Paperback),S.W.O.R.D. (2020) #1,S.W.O.R.D. (2009) #2,S.W.O.R.D. (2020) #2,S.W.O.R.D. (2009) #3,S.W.O.R.D. (2020) #3,S.W.O.R.D. (2020) #4,S.W.O.R.D. (2009) #4,S.W.O.R.D. (2020) #5,S.W.O.R.D. (2009) #5,,,,,,,,,,,,,,,
12,Agent X (Nijo),Agent X (2002) #1,Agent X (2002) #2,Agent X (2002) #3,Agent X (2002) #4,Agent X (2002) #5,Agent X (2002) #6,Agent X (2002) #7,Agent X (2002) #8,Agent X (2002) #9,Agent X (2002) #10,Agent X (2002) #11,Agent X (2002) #12,Agent X (2002) #13,Agent X (2002) #14,Agent X (2002) #15,Cable & Deadpool (2004) #12,Cable & Deadpool (2004) #46 (Zombie Variant),Cable & Deadpool Vol. 2: The Burnt Offering (Trade Paperback),,,,,,,,,,,,,,,,,
13,Agent Zero,Life of Wolverine Infinity Comic (2022) #6,Weapon X (2002) #2,Weapon X (2002) #3,Weapon X (2002) #12,Weapon X (2002) #13,Weapon X: Days of Future Now (2005) #1,Weapon X: Days of Future Now (2005) #2,Weapon X: Days of Future Now (2005) #3,Weapon X: Days of Future Now (2005) #4,Weapon X: Days of Future Now (2005) #5,Weapon X: Days of Future Now (Trade Paperback),Weapon X: The Draft � Agent Zero (2002) #1,Wolverine (1988) #60,Wolverine (1988) #61,Wolverine (1988) #62,Wolverine (1988) #63,Wolverine (1988) #64,Wolverine (1988) #67,Wolverine (1988) #68,Wolverine (1988) #87,,,,,,,,,,,,,,,
14,Agents of Atlas,Agents of Atlas (2019) #1,Agents of Atlas (2009) #1,Agents of Atlas (2006) #1,Agents of Atlas (2009) #1 (50/50 COVER),Agents of Atlas (2006) #2,Agents of Atlas (2009) #2,Agents of Atlas (2009) #2 (BACHALO 2ND PRINTING VARIANT),Agents of Atlas (2009) #2 (MCGUINNESS VARIANT),Agents of Atlas (2006) #3,Agents of Atlas (2009) #3,Agents of Atlas (2009) #3 (MCGUINNESS VARIANT),Agents of Atlas (2009) #3 (Wolverine Art Appreciation Variant),Agents of Atlas (2006) #4,Agents of Atlas (2009) #4,Agents of Atlas (2006) #5,Agents of Atlas (2009) #5,Agents of Atlas (2009) #5 (MCGUINNESS VARIANT),Agents of Atlas (2006) #6,Agents of Atlas (2009) #6,Agents of Atlas (2009) #7,,,,,,,,,,,,,,,
15,Aginar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Air-Walker (Gabriel Lan),Annihilation: Silver Surfer (2006) #1,Heroes Reborn: Iron Man (Trade Paperback),Iron Man (1996) #11,Iron Man (1996) #12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Ajak,Incredible Hercules (2008) #117,Incredible Hercules (2008) #118,Incredible Hercules (2008) #119,Incredible Hercules (2008) #120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ajaxis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Akemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Alain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Albert Cleary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Albion,New Excalibur (2005) #23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Alex Power,Future Foundation (2019) #1,Future Foundation (2019) #3,Future Foundation (2019) #4,Future Foundation (2019) #5,Iron Man and Power Pack (2007) #1,Iron Man and Power Pack (2007) #2,Iron Man and Power Pack (2007) #3,Iron Man and Power Pack (2007) #4,Power Pack (2017) #63,Thor and the Warriors Four (2010) #1,Thor and the Warriors Four (2010) #2,Thor and the Warriors Four (2010) #3,Thor and the Warriors Four (2010) #4,X-Men and Power Pack (2005) #1,X-Men and Power Pack (2005) #2,X-Men and Power Pack (2005) #3,X-Men and Power Pack (2005) #4,X-Men and Power Pack: The Power of X (Digest),,,,,,,,,,,,,,,,,
24,Alex Wilder,Power Man and Iron Fist (2016) #14,Runaways (2003) #1,Runaways (2003) #2,Runaways (2003) #3,Runaways (2003) #4,Runaways (2003) #5,Runaways (2003) #6,Runaways (2017) #17,Runaways Vol. 1: Pride & Joy (Digest),,,,,,,,,,,,,,,,,,,,,,,,,,
25,Alexa Mendez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Alexander Pierce,Secret Warriors (2009) #12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Alice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Alicia Masters,Essential Fantastic Four Vol. 4 (Trade Paperback),Fantastic Four (1998) #27,Fantastic Four (1961) #163,Fantastic Four (1961) #164,Fantastic Four (1961) #168,Fantastic Four (1961) #169,Fantastic Four (1961) #170,Fantastic Four (1961) #245,Fantastic Four (1961) #250,Fantastic Four (1961) #251,Fantastic Four (1961) #252,Fantastic Four (1961) #255,Fantastic Four (1961) #256,Fantastic Four (1961) #321,Fantastic Four (1961) #322,Fantastic Four (1961) #326,Fantastic Four (1961) #327,Fantastic Four (1961) #328,Fantastic Four (1961) #329,Fantastic Four (1961) #332,,,,,,,,,,,,,,,
29,Alpha Flight,Alpha Flight (2011) #0.1,Alpha Flight (2004) #1,Alpha Flight (1983) #1,Alpha Flight (2011) #1 (Eaglesham Variant),Alpha Flight (1983) #2,Alpha Flight (2004) #2,Alpha Flight (2011) #2,Alpha Flight (2011) #2 (Eaglesham Variant),Alpha Flight (1983) #3,Alpha Flight (2004) #3,Alpha Flight (2011) #3 (Eaglesham Variant),Alpha Flight (2011) #4,Alpha Flight (2004) #4,Alpha Flight (1983) #4,Alpha Flight (1983) #5,Alpha Flight (2004) #5,Alpha Flight (2011) #5,Alpha Flight (2004) #6,Alpha Flight (1983) #6,Alpha Flight (2011) #6,,,,,,,,,,,,,,,
30,Alpha Flight (Ultimate),Ultimate X-Men (2001) #94,Ultimate X-Men (2001) #95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Alvin Maker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Amadeus Cho,Agents of Atlas (2019) #1,Agents of Atlas (2019) #2,Agents of Atlas (2019) #4,Agents of Atlas (2019) #5,Atlantis Attacks (2020) #3,Atlantis Attacks (2020) #4,Atlantis Attacks (2020) #5,Avengers (2016) #674,Champions (2016) #1,Champions (2016) #2,Champions (2019) #2,Champions (2016) #3,Champions (2019) #3,Champions (2019) #4,Champions (2016) #4,Champions (2016) #5,Champions (2020) #5,Champions (2016) #6,Champions (2016) #7,Champions (2016) #8,,,,,,,,,,,,,,,
33,Amanda Sefton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Amazoness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,American Eagle (Jason Strongbow),Marvel Comics Presents (1988) #27,Marvel Comics Presents (1988) #128,Marvel Comics Presents (1988) #130,Marvel Comics Presents (1988) #147,Marvel Comics Presents (1988) #148,Marvel's Voices: Heritage (2022) #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Amiko,Elektra (1996) #15,Uncanny X-Men (1963) #181,Wolverine (1988) #82,Wolverine (1988) #107,Wolverine (1988) #108,Wolverine (1988) #109,Wolverine (1988) #150,Wolverine (1988) #151,Wolverine (1988) #152,Wolverine (1988) #153,Wolverine (1988) #173,Wolverine (1988) #174,,,,,,,,,,,,,,,,,,,,,,,
37,Amora,Avengers (1996) #9,Journey Into Mystery (1996) #503,Journey Into Mystery (1952) #503,Journey Into Mystery (1996) #504,Journey Into Mystery (1952) #504,Journey Into Mystery (1996) #507,Journey Into Mystery (1952) #507,Journey Into Mystery (1996) #508,Journey Into Mystery (1952) #508,Journey Into Mystery (1996) #510,Journey Into Mystery (1952) #510,Thor (1998) #55,Thor (1998) #58,,,,,,,,,,,,,,,,,,,,,,
38,Amphibian (Earth-712),Squadron Supreme (2006) #1,Squadron Supreme (2006) #2,Squadron Supreme Vol. 1: The Pre-War Years Premiere (Hardcover),Squadron Supreme: New World Order (1999) #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Amun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Ancient One,DOCTOR STRANGE AND THE SORCERERS SUPREME VOL. 1: OUT OF TIME TPB (Trade Paperback),Doctor Strange, Sorcerer Supreme (1988) #7,Doctor Strange, Sorcerer Supreme (1988) #8,Doctor Strange, Sorcerer Supreme (1988) #13,Doctor Strange, Sorcerer Supreme (1988) #22,Doctor Strange, Sorcerer Supreme (1988) #23,Doctor Strange, Sorcerer Supreme (1988) #33,Doctor Strange, Sorcerer Supreme (1988) #34,Doctor Strange, Sorcerer Supreme (1988) #45,Doctor Strange, Sorcerer Supreme (1988) #47,Doctor Strange, Sorcerer Supreme (1988) #54,Doctor Strange, Sorcerer Supreme (1988) #55,Doctor Strange, Sorcerer Supreme (1988) #84,Doctor Strange, Sorcerer Supreme (1988) #85,Doctor Strange, Sorcerer Supreme (1988) #87,Doctor Strange, Sorcerer Supreme (1988) #88,Doctor Strange (1974) #12,Doctor Strange (1974) #13,Doctor Strange (1974) #19,Guardians of the Galaxy (1990) #19
41,Ancient One (Ultimate),Ultimate Marvel Team-Up (2001) #12,Ultimate Marvel Team-Up Ultimate Collection (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Angel (Angel Salvadore),New X-Men (Hardcover),New X-Men (2001) #118,New X-Men (2001) #141,New X-Men Vol. 2: Germ-Free Generation GN-TPB (Graphic Novel),NEW X-MEN VOL. 2: IMPERIAL TPB (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Angel (Thomas Halloway),Incredible Hercules (2008) #114,MARVEL MASTERWORKS: GOLDEN AGE MARVEL COMICS VOL. 2 HC (Hardcover),Marvel Mystery Comics (1939) #3,Marvel Mystery Comics (1939) #5,Marvel Mystery Comics (1939) #27,The Marvels Project (2009) #1,The Marvels Project (Trade Paperback),The Marvels Project (2009) #4,The Marvels Project (2009) #5,The Marvels Project (2009) #7,,,,,,,,,,,,,,,,,,,,,,,,,
44,Angel (Ultimate),Ultimate X-Men (2001) #24,Ultimate X-Men (2001) #25,Ultimate X-Men (2001) #40,Ultimate X-Men (2001) #61,Ultimate X-Men (2001) #63,Ultimate X-Men (2001) #64,Ultimate X-Men (2001) #65,Ultimate X-Men (2001) #69,Ultimate X-Men (2001) #70,Ultimate X-Men (2001) #86,Ultimate X-Men (2001) #91,Ultimate X-Men (2001) #93,Ultimate X-Men (2001) #94,Ultimate X-Men (2001) #95,Ultimate X-Men (2001) #96,Ultimate X-Men (2001) #97,Ultimate X-Men (2001) #100,Ultimate X-Men Annual (2005) #1,ULTIMATE X-MEN VOL. 14: PHOENIX TPB (Trade Paperback),,,,,,,,,,,,,,,,
45,Angel (Warren Worthington III),All-New Wolverine (2015) #17,Angel: Revelations (2008) #1,Angel: Revelations (2008) #2,Angel: Revelations (2008) #3,Angel: Revelations (2008) #4,Angel: Revelations (2008) #5,Astonishing X-Men (2017) #5,Astonishing X-Men (2017) #7,Astonishing X-Men by Charles Soule Vol. 1: Life of X (Trade Paperback),Champions (1975) #1,Champions (1975) #4,Champions (1975) #5,Champions (1975) #6,Champions (1975) #7,Champions (1975) #8,Champions (1975) #10,Champions (1975) #12,Champions (1975) #13,Champions (1975) #15,Champions (1975) #17,,,,,,,,,,,,,,,
46,Angela (Aldrif Odinsdottir),1602 Witch Hunter Angela (2015) #4,Angela: Queen of Hel (2015) #5,Asgardians of the Galaxy (2018) #1,Asgardians of the Galaxy (2018) #2,Asgardians of the Galaxy (2018) #3,Asgardians of the Galaxy (2018) #4,Asgardians of the Galaxy (2018) #5,Asgardians of the Galaxy (2018) #6,Asgardians of the Galaxy (2018) #7,Asgardians of the Galaxy (2018) #8,Asgardians of the Galaxy (2018) #10,Asgardians Of The Galaxy Vol. 1: The Infinity Armada (Trade Paperback),Guardians of the Galaxy (2013) #5,Guardians of the Galaxy (2013) #6,Guardians of the Galaxy (2013) #10,Guardians of the Galaxy (2013) #11,Guardians of the Galaxy (2015) #18,GUARDIANS OF THE GALAXY VOL. 4 HC (Hardcover),Guardians of The Galaxy: New Guard Vol. 3 - Civil War II (Hardcover),GUARDIANS OF THE GALAXY: NEW GUARD VOL. 3 - CIVIL WAR II TPB (Trade Paperback),,,,,,,,,,,,,,,
47,Anita Blake,Anita Blake, Vampire Hunter: Guilty Pleasures (2006) #2,Anita Blake, Vampire Hunter: Guilty Pleasures (2006) #3,Anita Blake, Vampire Hunter: Guilty Pleasures (2006) #6,Anita Blake, Vampire Hunter: Guilty Pleasures (2006) #8,Anita Blake, Vampire Hunter: Guilty Pleasures (2006) #8 (Booth Variant),Anita Blake, Vampire Hunter: Guilty Pleasures (2006) #9,Anita Blake, Vampire Hunter: Guilty Pleasures (2006) #10,Anita Blake, Vampire Hunter: Guilty Pleasures (2006) #11,Anita Blake, Vampire Hunter: Guilty Pleasures (2006) #12,,,,,,,,,,,,,,,,,
48,Anne Marie Hoag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Annihilus,All-New, All-Different Avengers (2015) #11,Annihilation (2006) #1,Annihilation (2006) #3,Annihilation (2006) #4,Annihilation (2006) #6,Annihilation: Nova (2006) #4,Annihilation: Silver Surfer (2006) #2,Annihilation: Silver Surfer (2006) #3,Annihilation: The Complete Collection Vol. 1 (Trade Paperback),Annihilation: The Nova Corps (2006) #1,Essential Fantastic Four Vol. 4 (Trade Paperback),Fantastic Four (1998) #19,Fantastic Four (1998) #40,Fantastic Four (2018) #41,Fantastic Four (1998) #42,Fantastic Four (1998) #43,Fantastic Four (1998) #44,Fantastic Four (1961) #179,Fantastic Four (1961) #251,Fantastic Four (1961) #252,,,,,,,,,,,,,,
50,Anole,Age Of X-Man: Nextgen (Trade Paperback),Runaways (2008) #10,Uncanny X-Men (1963) #517,X-Men (2019) #11,X-Men (2019) #12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Ant-Man (Eric O'Grady),Ant-Man (2022) #2,Ant-Man (2022) #3,Ant-Man (2022) #4,Ant-Man & the Wasp (2010) #1,Ant-Man & the Wasp (2010) #2,Ant-Man & the Wasp (2010) #3,Ant-Man & Wasp: Small World (Trade Paperback),Avengers: The Initiative (2007) #14,Avengers: The Initiative (2007) #14 (SPOTLIGHT VARIANT),Avengers: The Initiative (2007) #17,Avengers: The Initiative (2007) #18,Avengers: The Initiative (2007) #18 (ZOMBIE VARIANT),Avengers: The Initiative (2007) #19,Avengers: The Initiative (2007) #20,Fear Itself: The Fearless (2011) #3,I Am an Avenger (2010) #5,Irredeemable Ant-Man (2006) #1,Irredeemable Ant-Man (2006) #2,Irredeemable Ant-Man (2006) #3,Irredeemable Ant-Man (2006) #4,,,,,,,,,,,,,,,
52,Ant-Man (Hank Pym),Age of Ultron (2013) #10,Ant-Man (2022) #1,Ant-Man (2022) #2,Ant-Man (2022) #3,Ant-Man (2022) #4,Ant-Man and the Wasp Adventures (Digest),Ant-Man: Larger than Life (2016) #1,Ant-Man/Giant-Man: Growing Pains (Trade Paperback),Ant-Man: Astonishing Origins (Trade Paperback),Ant-Man: Season One (2011) #1,Avengers (1963) #161,Avengers (1963) #162,Avengers Annual (2001) #1,Avengers Assemble Vol. 4 (Hardcover),Avengers: Earth's Mightiest Heroes (2004) #1,Avengers: Tales to Astonish (Trade Paperback),Avengers: The Origin (2010) #1,Avengers: The Origin (2010) #2,Avengers: The Origin (2010) #3,Avengers: The Origin (2010) #4,,,,,,,,,,,,,,,
53,Ant-Man (Scott Lang),A YEAR OF MARVELS TPB (Trade Paperback),A-Next (1998) #2,A-Next (1998) #3,A-Next (1998) #4,A-Next (1998) #5,A-Next (1998) #6,A-Next (1998) #7,A-Next (1998) #8,A-Next (1998) #9,A-Next (1998) #10,A-Next (1998) #11,A-Next (1998) #12,Alias (2001) #1,Alias (2001) #2,Alias (2001) #3,Alias Omnibus (Hardcover),Amazing Spider-Man Annual (1964) #24,The Astonishing Ant-Man Vol. 3: The Trial of Ant-Man (Trade Paperback),The Astonishing Ant-Man (2015) #1,Ant-Man (2020) #1,,,,,,,,,,,,,,,
54,Anthem,The Order (2007) #1,The Order (2007) #2,The Order (2007) #3,The Order (2007) #4,The Order (2007) #5,The Order (2007) #6,The Order (2007) #7,The Order (2007) #8,The Order (2007) #9,The Order (2007) #10,The Order Vol. 1: The Next Right Thing (Trade Paperback),,,,,,,,,,,,,,,,,,,,,,,,
55,Apocalypse,Age of X-Man: Apocalypse & the X-Tracts (2019) #1,Age of X-Man: Apocalypse & the X-Tracts (2019) #5,Avengers (2010) #2,Avengers (2010) #3,Avengers (2010) #3 (ROMITA JR. VARIANT),Cable (1993) #8,Cable (2008) #14,Cable (2008) #14 (MW, 50/50 Variant),Cable (2008) #15,Cable (2008) #15 (MW, 50/50 Variant),Cable (1993) #35,Cable (1993) #66,Cable (1993) #75,Dark Ages (2021) #6,Essential X-Factor Vol. 2 (All-New Edition) (Trade Paperback),Excalibur (2019) #1,Excalibur (2019) #3,Excalibur (2019) #4,Excalibur (2019) #6,Excalibur (2019) #8,,,,,,,,,,,,,
56,Apocalypse (Ultimate),Ultimate X-Men (2001) #91,Ultimate X-Men (2001) #92,Ultimate X-Men (2001) #93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Aqueduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Arachne,Amazing Spider-Man (1999) #634,Amazing Spider-Man (1999) #635,Amazing Spider-Man (1999) #636,Amazing Spider-Man (1999) #637,Herc (2010) #8,Amazing Spider-Man (1999) #5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Ara�a,Amazing Spider-Girl (2006) #19,Amazing Spider-Girl (2006) #27,Amazing Spider-Man (1999) #636,Amazing Spider-Man (1999) #637,ARANA VOL. 2: IN THE BEGINNING DIGEST (Digest),ARANA VOL. 3: NIGHT OF THE HUNTER DIGEST (Digest),Arana: Night Of The Hunter (Trade Paperback),Arana: The Heart of the Spider (2005) #1,Arana: The Heart of the Spider (2005) #2,Arana: The Heart of the Spider (2005) #3,Arana: The Heart of the Spider (2005) #4,Arana: The Heart of the Spider (2005) #5,Arana: The Heart of the Spider (2005) #6,Arana: The Heart of the Spider (2005) #7,Arana: The Heart of the Spider (2005) #8,Arana: The Heart of the Spider (2005) #9,Arana: The Heart of the Spider (2005) #10,Arana: The Heart of the Spider (2005) #11,Arana: The Heart of the Spider (2005) #12,Avengers Academy Giant-Size (2010) #1,,,,,,,,,,,,,,,
60,Arcade,Age of X: Alpha (2010) #1,Agent X (2002) #5,Classic X-Men (1986) #30,Elektra (2017) #3,Elektra (2017) #4,Elektra (2017) #5,Elektra: Always Bet On Red (Trade Paperback),Excalibur (1988) #125,GWENPOOL, THE UNBELIEVABLE VOL. 3: TOTALLY IN CONTINUITY TPB (Trade Paperback),MARVEL MASTERWORKS: THE UNCANNY X-MEN VOL. 2 HC (Hardcover),MARVEL MASTERWORKS: THE UNCANNY X-MEN VOL. 6 HC (Hardcover),MARVEL MASTERWORKS: THE UNCANNY X-MEN VOL. 6 HC (Hardcover),Murderworld: Avengers (2022) #1,Spider-Man/Deadpool (2016) #21,Spider-Man/Deadpool (2016) #22,The Amazing Spider-Man (2018) #18,The Amazing Spider-Man (2018) #20,The Unbelievable Gwenpool (2016) #13,Uncanny X-Men (1963) #144,Uncanny X-Men (1963) #145,,,,,,,,,,,,,,
61,Arcana,Squadron Supreme (2006) #1,Squadron Supreme Vol. 1: The Pre-War Years Premiere (Hardcover),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Archangel,Age of Apocalypse: The Chosen (1995) #1,All-Winners Comics (1941) #1,Alpha Flight (1983) #111,Archangel (1996) #1,Astonishing X-Men (2017) #1,Astonishing X-Men (2017) #4,Astonishing X-Men (2017) #6,Astonishing X-Men (2017) #8,Astonishing X-Men (2017) #9,Astonishing X-Men (2017) #12,Astonishing X-Men (2004) #51,Astonishing X-Men Annual (2018) #1,Astonishing X-Men by Charles Soule Vol. 1: Life of X (Trade Paperback),Avengers (1998) #27,Avengers (1998) #60,Avengers Assemble Vol. 3 (Hardcover),Avengers Vol. 1: World Trust (Trade Paperback),Cable (2008) #13,Cable (2008) #13 (MW, 50/50 Variant),Cable (2008) #14,,,,,,,,,,,,,,
63,Arclight,Uncanny X-Men (1963) #210,Uncanny X-Men (1963) #211,Uncanny X-Men (1963) #215,Uncanny X-Men (1963) #219,Uncanny X-Men (1963) #221,Uncanny X-Men (1963) #222,Uncanny X-Men (1963) #240,Uncanny X-Men (1963) #350,X-Factor (1986) #10,X-Factor (1986) #11,X-Man (1995) #18,X-Man (1995) #19,X-Men: Mutant Massacre (Trade Paperback),X-MEN: OLD SOLDIERS TPB (Trade Paperback),,,,,,,,,,,,,,,,,,,,,
64,Ares,Adam: Legend of the Blue Marvel (2008) #1,Amazing Spider-Man (1999) #647 (MCNIVEN VARIANT),Ares (2006) #1,Ares (2006) #2,Ares (2006) #3,Ares (2006) #4,Ares (2006) #5,ARES: GOD OF WAR TPB (Trade Paperback),Avengers (1998) #48,Avengers (1963) #50,Avengers (1963) #98,Avengers (1963) #99,Avengers (1963) #283,Avengers (1963) #284,Avengers (1963) #285,Avengers/Invaders (2008) #2,Avengers/Invaders (2008) #7,Avengers/Invaders (2008) #8,AVENGERS: THE KANG DYNASTY TPB (Trade Paperback),Captain America: Reborn (2009) #1,,,,,,,,,,,,,,,
65,Argent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Armadillo,New Warriors (2005) #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
